,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
2459304,4/7/2017 9:46,4/7/2017 9:53,458,E 5 St & Avenue C,Sullivan St & Washington Sq,Subscriber,Male,1984
6722188,6/29/2017 14:25,6/29/2017 14:51,1571,W 16 St & The High Line,W 16 St & The High Line,Customer,Female,1977
1484707,2/28/2017 8:43,2/28/2017 8:54,665,2 Ave & E 31 St,W 43 St & 6 Ave,Subscriber,Male,1993
5060060,5/31/2017 17:15,5/31/2017 17:38,1337,Central Park West & W 76 St,Cathedral Pkwy & Broadway,Customer,,
3673968,5/2/2017 20:41,5/2/2017 20:59,1082,11 Ave & W 59 St,E 89 St & York Ave,Subscriber,Male,1988
3378045,4/27/2017 17:00,4/27/2017 17:36,2158,Broadway & E 22 St,E 75 St & 3 Ave,Subscriber,Female,1988
1792520,3/9/2017 17:07,3/9/2017 17:18,626,W 13 St & 6 Ave,W 26 St & 10 Ave,Subscriber,Male,1973
688256,1/30/2017 15:57,1/30/2017 16:07,605,E 45 St & 3 Ave,W 31 St & 7 Ave,Subscriber,Male,1980
675701,1/30/2017 8:08,1/30/2017 8:34,1526,E 23 St & 1 Ave,Old Slip & Front St,Subscriber,Male,1978
844874,2/4/2017 22:58,2/4/2017 23:04,361,Greenwich Ave & 8 Ave,W 22 St & 8 Ave,Subscriber,Male,1968
1537250,3/1/2017 14:54,3/1/2017 14:58,242,West St & Chambers St,Watts St & Greenwich St,Subscriber,Male,1974
4327516,5/16/2017 18:19,5/16/2017 18:23,236,Clark St & Henry St,Hicks St & Montague St,Subscriber,Female,1973
6686793,6/28/2017 20:38,6/28/2017 20:53,852,Christopher St & Greenwich St,West Thames St,Subscriber,Female,1989
4589200,5/21/2017 9:48,5/21/2017 9:59,628,E 17 St & Broadway,W 20 St & 11 Ave,Subscriber,Male,1971
3815399,5/5/2017 19:47,5/5/2017 19:54,422,FDR Drive & E 35 St,W 37 St & 5 Ave,Subscriber,Male,1978
3813743,5/5/2017 19:07,5/5/2017 19:10,210,Washington St & Gansevoort St,Barrow St & Hudson St,Subscriber,Male,1984
363990,1/18/2017 9:47,1/18/2017 9:53,386,Columbus Ave & W 72 St,Broadway & W 58 St,Subscriber,Male,1972
1175168,2/19/2017 15:49,2/19/2017 16:28,2322,Little West St & 1 Pl,8 Ave & W 16 St,Customer,,
902972,2/7/2017 8:49,2/7/2017 8:56,408,E 9 St & Avenue C,E 15 St & 3 Ave,Subscriber,Male,1994
844050,2/4/2017 21:07,2/4/2017 21:26,1133,E 7 St & Avenue A,W 20 St & 11 Ave,Subscriber,Male,1992
1233811,2/21/2017 11:34,2/21/2017 11:45,668,E 55 St & 3 Ave,E 81 St & 3 Ave,Subscriber,Female,1965
465667,1/21/2017 15:41,1/21/2017 15:45,226,St Marks Pl & 2 Ave,Great Jones St,Subscriber,Male,1992
2895961,4/16/2017 15:05,4/16/2017 15:16,674,W 33 St & 7 Ave,Perry St & Bleecker St,Subscriber,Male,1969
1736259,3/8/2017 12:56,3/8/2017 12:58,93,West Thames St,South End Ave & Liberty St,Subscriber,Male,1952
18921,1/2/2017 11:30,1/2/2017 11:57,1605,E 84 St & Park Ave,8 Ave & W 31 St,Subscriber,Female,1960
3682217,5/3/2017 7:14,5/3/2017 7:21,431,Catherine St & Monroe St,Cleveland Pl & Spring St,Subscriber,Male,1958
4268833,5/15/2017 18:53,5/15/2017 19:02,537,W 31 St & 7 Ave,W 39 St & 9 Ave,Subscriber,Female,1989
460060,1/21/2017 13:22,1/21/2017 13:36,852,1 Ave & E 44 St,W 24 St & 7 Ave,Customer,,
2902862,4/16/2017 16:45,4/16/2017 16:49,249,Great Jones St,E 12 St & 3 Ave,Subscriber,Male,1974
3858056,5/6/2017 18:44,5/6/2017 18:51,402,W 22 St & 8 Ave,W 33 St & 7 Ave,Subscriber,Male,1991
4541659,5/20/2017 9:29,5/20/2017 9:43,879,Columbus Ave & W 95 St,W 67 St & Broadway,Subscriber,Female,1953
4571793,5/20/2017 17:53,5/20/2017 18:00,421,Duffield St & Willoughby St,Degraw St & Hoyt St,Subscriber,Female,1991
4409015,5/17/2017 22:52,5/17/2017 23:11,1106,Christopher St & Greenwich St,West St & Chambers St,Subscriber,Male,1990
2592078,4/10/2017 16:26,4/10/2017 16:30,262,E 20 St & Park Ave,E 16 St & 5 Ave,Subscriber,Male,1968
2160712,3/29/2017 7:55,3/29/2017 8:00,277,Cooper Square & E 7 St,E 17 St & Broadway,Subscriber,Male,1989
2294298,4/2/2017 16:21,4/2/2017 18:19,7122,Bedford Ave & Nassau Ave,Atlantic Ave & Furman St,Customer,,
3253600,4/24/2017 10:11,4/24/2017 10:22,691,Lexington Ave & E 24 St,W 43 St & 6 Ave,Subscriber,Male,1996
5084562,5/31/2017 23:50,6/1/2017 0:06,993,Grand St & Elizabeth St,E 10 St & Avenue A,Subscriber,Male,1978
2593496,4/10/2017 16:48,4/10/2017 17:17,1723,E 27 St & 1 Ave,E 89 St & York Ave,Subscriber,Female,1988
388372,1/19/2017 7:08,1/19/2017 7:12,244,Clermont Ave & Lafayette Ave,Fulton St & Rockwell Pl,Subscriber,Male,1982
6341490,6/23/2017 7:45,6/23/2017 7:55,609,11 Ave & W 59 St,8 Ave & W 33 St,Subscriber,Male,1984
1793573,3/9/2017 17:20,3/9/2017 17:37,1004,Harrison St & Hudson St,W 18 St & 6 Ave,Subscriber,Male,1972
238934,1/12/2017 18:37,1/12/2017 18:46,560,Broadway & W 58 St,E 47 St & Park Ave,Subscriber,Female,1956
528950,1/25/2017 7:47,1/25/2017 7:53,364,Driggs Ave & N Henry St,N 8 St & Driggs Ave,Subscriber,Female,1987
75374,1/5/2017 7:28,1/5/2017 7:49,1272,E 59 St & Madison Ave,Columbus Ave & W 95 St,Subscriber,,
4187373,5/14/2017 7:22,5/14/2017 7:41,1131,Centre St & Chambers St,Allen St & Stanton St,Customer,,
1130931,2/18/2017 12:48,2/18/2017 12:49,84,E 16 St & Irving Pl,E 16 St & Irving Pl,Customer,,
3466778,4/29/2017 9:51,4/29/2017 9:58,444,St Marks Pl & 1 Ave,Sullivan St & Washington Sq,Subscriber,Male,1988
2271216,4/2/2017 7:46,4/2/2017 8:09,1372,Pier 40 - Hudson River Park,9 Ave & W 22 St,Subscriber,Male,1966
4621570,5/21/2017 16:59,5/21/2017 17:09,599,Johnson St & Gold St,Degraw St & Smith St,Subscriber,Male,1973
2157105,3/29/2017 1:42,3/29/2017 1:48,391,E 31 St & 3 Ave,W 33 St & 7 Ave,Subscriber,Male,1973
4802038,5/26/2017 3:43,5/26/2017 3:49,367,E 85 St & 3 Ave,E 80 St & 2 Ave,Subscriber,Male,1972
172278,1/10/2017 19:31,1/10/2017 19:49,1083,E 2 St & Avenue B,Frost St & Meeker St,Subscriber,Male,1987
2913720,4/16/2017 19:55,4/16/2017 20:07,734,Riverside Dr & W 72 St,W 74 St & Columbus Ave,Customer,,
3533853,4/30/2017 12:49,4/30/2017 13:32,2612,South End Ave & Liberty St,W 4 St & 7 Ave S,Customer,,
5788817,6/13/2017 9:39,6/13/2017 9:57,1082,Lafayette St & E 8 St,Pershing Square North,Subscriber,Male,1983
5175190,6/2/2017 12:10,6/2/2017 12:27,1009,Christopher St & Greenwich St,Centre St & Worth St,Subscriber,Female,1983
2062298,3/25/2017 9:15,3/25/2017 9:18,215,Prospect Pl & 6 Ave,Carroll St & 6 Ave,Subscriber,Male,1968
2958099,4/17/2017 18:14,4/17/2017 18:25,688,E 4 St & 2 Ave,W 24 St & 7 Ave,Subscriber,Female,1996
2523974,4/9/2017 9:44,4/9/2017 10:01,1014,Clinton St & Joralemon St,Carroll St & 6 Ave,Subscriber,Female,1966
543518,1/25/2017 14:51,1/25/2017 14:54,193,Broadway & W 49 St,Broadway & W 55 St,Subscriber,Male,1976
2175062,3/29/2017 14:01,3/29/2017 14:16,859,E 15 St & 3 Ave,W 13 St & Hudson St,Customer,,
6351534,6/23/2017 9:50,6/23/2017 9:52,120,Driggs Ave & Lorimer St,N 8 St & Driggs Ave,Subscriber,Male,1992
6153147,6/20/2017 9:49,6/20/2017 9:57,487,Bedford Ave & Nassau Ave,Broadway & Roebling St,Subscriber,Female,1981
4094203,5/11/2017 14:36,5/11/2017 14:50,826,W 33 St & 7 Ave,University Pl & E 14 St,Subscriber,Male,1975
3581718,5/1/2017 13:17,5/1/2017 13:23,377,St Marks Pl & 2 Ave,Mott St & Prince St,Subscriber,Male,1992
4927614,5/28/2017 15:34,5/28/2017 16:02,1657,Amsterdam Ave & W 82 St,W 46 St & 11 Ave,Subscriber,Female,1977
3612492,5/1/2017 20:26,5/1/2017 20:33,428,Putnam Ave & Nostrand Ave,Albany Ave & Fulton St,Subscriber,Male,1973
3571708,5/1/2017 9:07,5/1/2017 9:15,454,W 18 St & 6 Ave,E 32 St & Park Ave,Subscriber,Male,1983
6013894,6/16/2017 22:51,6/16/2017 23:08,1031,Broadway & W 41 St,E 11 St & 1 Ave,Subscriber,Male,1994
4942971,5/28/2017 19:33,5/28/2017 19:38,263,E 65 St & 2 Ave,E 76 St & 3 Ave,Subscriber,Male,1972
2160686,3/29/2017 7:54,3/29/2017 8:12,1046,Cleveland Pl & Spring St,W 27 St & 10 Ave,Subscriber,Male,1991
4186399,5/13/2017 23:21,5/13/2017 23:48,1596,5 Ave & E 93 St,Lexington Ave & E 24 St,Subscriber,Male,1954
2514170,4/8/2017 18:42,4/8/2017 18:52,609,Pike St & E Broadway,Cooper Square & E 7 St,Subscriber,Female,1990
4188846,5/14/2017 9:08,5/14/2017 9:12,225,E 81 St & York Ave,E 75 St & 3 Ave,Subscriber,,1993
4632372,5/21/2017 19:27,5/21/2017 19:30,174,Kane St & Clinton St,Columbia St & Kane St,Subscriber,Male,1982
4908550,5/28/2017 10:50,5/28/2017 11:02,732,Mercer St & Spring St,W 11 St & 6 Ave,Customer,,
1627631,3/4/2017 9:16,3/4/2017 9:21,280,W 52 St & 9 Ave,Broadway & W 58 St,Subscriber,Male,1991
2432832,4/6/2017 7:56,4/6/2017 8:09,789,W 54 St & 9 Ave,8 Ave & W 52 St,Subscriber,Male,1970
5267833,6/3/2017 19:51,6/3/2017 20:05,852,South St & Gouverneur Ln,West St & Chambers St,Subscriber,Male,1985
3475291,4/29/2017 12:06,4/29/2017 12:28,1324,W 26 St & 8 Ave,Bank St & Washington St,Customer,Male,1982
5772475,6/12/2017 23:56,6/13/2017 0:29,1961,Warren St & Church St,W 13 St & 7 Ave,Subscriber,Male,1979
6694534,6/29/2017 5:23,6/29/2017 5:26,176,W 70 St & Amsterdam Ave,W 67 St & Broadway,Subscriber,Female,1985
5586369,6/9/2017 17:38,6/9/2017 17:46,480,E 55 St & 3 Ave,FDR Drive & E 35 St,Subscriber,Male,1977
3886556,5/7/2017 15:06,5/7/2017 15:09,186,St Marks Pl & 2 Ave,1 Ave & E 16 St,Subscriber,Male,1969
6173621,6/20/2017 16:58,6/20/2017 17:04,384,Carroll St & Columbia St,Congress St & Clinton St,Subscriber,Male,1980
395572,1/19/2017 9:07,1/19/2017 9:20,762,3 Ave & E 71 St,Broadway & W 53 St,Subscriber,Male,1985
2737147,4/13/2017 10:10,4/13/2017 10:15,258,W 20 St & 8 Ave,Broadway & E 22 St,Subscriber,Male,1989
4244576,5/15/2017 12:36,5/15/2017 12:43,405,Pershing Square North,Broadway & W 36 St,Subscriber,Male,1985
3060275,4/19/2017 18:05,4/19/2017 18:19,825,Sullivan St & Washington Sq,6 Ave & W 33 St,Subscriber,Male,1957
1697963,3/7/2017 11:45,3/7/2017 11:48,169,Kosciuszko St & Tompkins Ave,Kosciuszko St & Nostrand Ave,Subscriber,Male,1990
3248905,4/24/2017 8:48,4/24/2017 8:57,502,Carmine St & 6 Ave,W 21 St & 6 Ave,Subscriber,Female,1989
3294478,4/25/2017 8:52,4/25/2017 9:03,669,E 20 St & FDR Drive,E 39 St & 3 Ave,Subscriber,Male,1976
4975173,5/30/2017 0:45,5/30/2017 1:25,2404,Grand Army Plaza & Central Park S,6 Ave & W 33 St,Customer,,
3277056,4/24/2017 18:25,4/24/2017 18:32,396,Amsterdam Ave & W 73 St,Central Park West & W 76 St,Subscriber,Female,1982
3990548,5/9/2017 17:44,5/9/2017 17:51,429,Water - Whitehall Plaza,Fulton St & Broadway,Subscriber,Male,1990
6247593,6/21/2017 17:54,6/21/2017 18:04,573,Duffield St & Willoughby St,Bergen St & Flatbush Ave,Subscriber,Male,1971
1658278,3/6/2017 6:39,3/6/2017 6:43,261,W 44 St & 5 Ave,W 49 St & 8 Ave,Subscriber,Male,1977
2467591,4/7/2017 14:50,4/7/2017 14:56,343,W 41 St & 8 Ave,E 40 St & 5 Ave,Subscriber,Male,1953
4216393,5/14/2017 18:15,5/14/2017 18:44,1730,W 34 St & 11 Ave,Washington St & Gansevoort St,Subscriber,Male,1991
5063112,5/31/2017 17:42,5/31/2017 18:22,2419,MacDougal St & Prince St,Central Park West & W 68 St,Subscriber,Female,1992
2017831,3/23/2017 18:23,3/23/2017 18:28,321,Lafayette St & E 8 St,W 4 St & 7 Ave S,Subscriber,Male,1972
1405076,2/25/2017 15:29,2/25/2017 15:41,712,Forsyth St & Broome St,LaGuardia Pl & W 3 St,Subscriber,Female,1987
5932390,6/15/2017 16:58,6/15/2017 17:03,291,Kent Ave & N 7 St,Meserole Ave & Manhattan Ave,Customer,Female,1986
4442787,5/18/2017 15:49,5/18/2017 15:57,459,E 68 St & 3 Ave,E 85 St & 3 Ave,Subscriber,Male,1977
6104775,6/19/2017 7:48,6/19/2017 8:04,954,W 20 St & 7 Ave,Grand Army Plaza & Central Park S,Subscriber,Male,1967
478752,1/22/2017 9:28,1/22/2017 9:50,1316,5 Ave & E 63 St,5 Ave & E 63 St,Customer,,
4920393,5/28/2017 13:54,5/28/2017 14:20,1544,E 51 St & Lexington Ave,W 15 St & 7 Ave,Customer,,
3307980,4/25/2017 20:25,4/25/2017 20:33,466,Hanson Pl & Ashland Pl,Willoughby Ave & Hall St,Subscriber,Male,1975
3646870,5/2/2017 14:54,5/2/2017 15:07,765,Mott St & Prince St,Pier 40 - Hudson River Park,Customer,,
3365001,4/27/2017 12:40,4/27/2017 12:47,437,Market St & Cherry St,Cliff St & Fulton St,Subscriber,Female,1991
1261772,2/22/2017 8:42,2/22/2017 8:51,582,Perry St & Bleecker St,W 38 St & 8 Ave,Subscriber,Male,1989
1305195,2/23/2017 10:22,2/23/2017 10:54,1884,Broadway & W 53 St,8 Ave & W 52 St,Subscriber,Male,1970
5339411,6/5/2017 14:14,6/5/2017 14:27,756,Laight St & Hudson St,W 26 St & 10 Ave,Subscriber,Male,1975
5344916,6/5/2017 16:11,6/5/2017 16:29,1055,W 38 St & 8 Ave,E 65 St & 2 Ave,Subscriber,Male,1971
5233650,6/3/2017 12:27,6/3/2017 12:44,1022,Queens Plaza North & Crescent St,48 Ave & 5 St,Customer,,
3460184,4/28/2017 23:28,4/28/2017 23:43,915,Christopher St & Greenwich St,E 11 St & 1 Ave,Subscriber,Female,1973
3643354,5/2/2017 13:43,5/2/2017 13:52,593,W 33 St & 7 Ave,Lexington Ave & E 24 St,Subscriber,Male,1990
3763338,5/4/2017 13:35,5/4/2017 13:38,211,W 20 St & 11 Ave,W 27 St & 10 Ave,Subscriber,Male,1986
2075710,3/25/2017 14:41,3/25/2017 14:54,785,E 2 St & Avenue C,University Pl & E 14 St,Subscriber,Male,1973
2630578,4/11/2017 10:35,4/11/2017 10:45,637,E 23 St & 1 Ave,W 37 St & 5 Ave,Subscriber,Male,1971
576184,1/26/2017 13:36,1/26/2017 13:44,439,Van Brunt St & Wolcott St,2 Ave & 9 St,Subscriber,Male,1965
6707316,6/29/2017 9:15,6/29/2017 9:20,321,Clinton St & Joralemon St,Bond St & Schermerhorn St,Subscriber,Male,1982
2513600,4/8/2017 18:29,4/8/2017 18:37,479,Grand Army Plaza & Plaza St West,Pacific St & Nevins St,Subscriber,Male,1989
476275,1/22/2017 0:05,1/22/2017 0:10,345,Pike St & E Broadway,Suffolk St & Stanton St,Subscriber,Male,1978
2854385,4/15/2017 16:00,4/15/2017 16:16,998,E 48 St & 3 Ave,Broadway & W 39 St,Customer,,
1840515,3/11/2017 20:21,3/11/2017 20:48,1570,Pershing Square South,Amsterdam Ave & W 82 St,Subscriber,Male,1993
3003792,4/18/2017 16:22,4/18/2017 16:28,380,St Marks Pl & 1 Ave,Washington Pl & 6 Ave,Subscriber,Male,1986
4312209,5/16/2017 15:34,5/16/2017 15:40,350,W 44 St & 5 Ave,W 41 St & 8 Ave,Subscriber,Male,1963
2316324,4/3/2017 8:29,4/3/2017 8:39,608,E 9 St & Avenue C,E 17 St & Broadway,Subscriber,Female,1967
2326643,4/3/2017 12:57,4/3/2017 13:15,1101,11 Ave & W 59 St,12 Ave & W 40 St,Subscriber,Female,1981
3599593,5/1/2017 17:56,5/1/2017 18:25,1703,Broadway & Battery Pl,W 42 St & Dyer Ave,Subscriber,Male,1970
3531927,4/30/2017 12:20,4/30/2017 12:23,218,Broadway & W 60 St,Central Park West & W 68 St,Subscriber,Male,1958
580550,1/26/2017 16:01,1/26/2017 16:05,235,E 24 St & Park Ave S,E 25 St & 2 Ave,Subscriber,Male,1983
1904261,3/19/2017 23:10,3/19/2017 23:16,402,6 Ave & W 33 St,E 33 St & 2 Ave,Subscriber,Male,1990
1908399,3/20/2017 8:38,3/20/2017 8:41,190,Little West St & 1 Pl,South End Ave & Liberty St,Subscriber,Male,1981
5644947,6/10/2017 17:13,6/10/2017 17:56,2555,5 Ave & E 78 St,Madison Ave & E 82 St,Customer,,
5771829,6/12/2017 23:06,6/12/2017 23:42,2196,E 13 St & Avenue A,Clinton St & 4 Place,Subscriber,Male,1989
4495369,5/19/2017 11:57,5/19/2017 12:24,1624,E 11 St & 2 Ave,Pearl St & Anchorage Pl,Customer,,
3495129,4/29/2017 16:08,4/29/2017 16:17,550,W 43 St & 10 Ave,W 45 St & 8 Ave,Customer,Female,1971
4145452,5/12/2017 12:23,5/12/2017 12:31,463,Lafayette St & E 8 St,Grand St & Elizabeth St,Subscriber,Male,1993
785004,2/2/2017 17:23,2/2/2017 17:39,957,Rivington St & Chrystie St,Broadway & W 29 St,Subscriber,Male,1975
2170062,3/29/2017 11:19,3/29/2017 11:21,172,Warren St & Church St,Barclay St & Church St,Subscriber,Female,1981
4166941,5/12/2017 17:58,5/12/2017 18:13,852,E 55 St & 3 Ave,Broadway & W 32 St,Subscriber,Male,1985
4178875,5/12/2017 22:00,5/12/2017 22:06,367,E 24 St & Park Ave S,Broadway & W 32 St,Subscriber,Male,1980
6570904,6/27/2017 8:45,6/27/2017 8:59,873,1 Ave & E 30 St,W 26 St & 8 Ave,Subscriber,Male,1963
3908997,5/8/2017 8:40,5/8/2017 8:52,703,Fulton St & Clermont Ave,Nassau St & Navy St,Subscriber,Male,1976
906757,2/7/2017 13:01,2/7/2017 13:15,869,Liberty St & Broadway,Cherry St,Subscriber,Male,1982
5161712,6/2/2017 8:31,6/2/2017 8:47,936,12 St & 4 Ave,Lawrence St & Willoughby St,Subscriber,Male,1986
6121516,6/19/2017 13:12,6/19/2017 13:20,506,W 13 St & 7 Ave,E 11 St & 2 Ave,Subscriber,Female,1952
1718507,3/7/2017 22:20,3/7/2017 22:31,665,Pershing Square North,W 20 St & 7 Ave,Subscriber,Male,1986
1268072,2/22/2017 11:37,2/22/2017 11:42,293,W 54 St & 9 Ave,9 Ave & W 45 St,Subscriber,Male,1962
2229955,3/30/2017 18:18,3/30/2017 18:22,221,W 13 St & Hudson St,Christopher St & Greenwich St,Subscriber,Male,1986
4178947,5/12/2017 22:04,5/12/2017 22:28,1428,N 6 St & Bedford Ave,Halsey St & Tompkins Ave,Subscriber,Male,1990
5140905,6/1/2017 19:25,6/1/2017 19:55,1775,Columbia Heights & Cranberry St,Brooklyn Bridge Park - Pier 2,Subscriber,Male,1962
1283501,2/22/2017 18:20,2/22/2017 18:26,368,W 43 St & 6 Ave,5 Ave & E 29 St,Subscriber,Male,1986
785597,2/2/2017 17:33,2/2/2017 17:36,175,Carroll St & 5 Ave,7 St & 5 Ave,Subscriber,,
5627771,6/10/2017 13:30,6/10/2017 14:07,2237,1 Ave & E 78 St,Cleveland Pl & Spring St,Subscriber,Male,1982
6557450,6/26/2017 21:30,6/26/2017 21:36,319,E 10 St & Avenue A,E 12 St & 3 Ave,Subscriber,Male,1989
1210840,2/20/2017 16:20,2/20/2017 16:27,412,N 6 St & Bedford Ave,Graham Ave & Conselyea St,Subscriber,Male,1977
2368875,4/4/2017 17:02,4/4/2017 17:12,615,W 41 St & 8 Ave,W 53 St & 10 Ave,Subscriber,Female,1974
2825212,4/14/2017 20:43,4/14/2017 20:52,576,Grand St & Elizabeth St,Grand St & Elizabeth St,Subscriber,Female,1993
1142526,2/18/2017 16:33,2/18/2017 17:08,2097,Cleveland Pl & Spring St,Duane St & Greenwich St,Customer,,
2465427,4/7/2017 13:39,4/7/2017 13:45,310,W 31 St & 7 Ave,5 Ave & E 29 St,Subscriber,Male,1990
4109916,5/11/2017 18:17,5/11/2017 18:32,877,E 55 St & 3 Ave,W 31 St & 7 Ave,Customer,Male,1988
6493844,6/25/2017 21:14,6/25/2017 21:31,1020,E 15 St & 3 Ave,1 Ave & E 44 St,Customer,,
791255,2/2/2017 19:12,2/2/2017 19:20,457,Front St & Maiden Ln,Allen St & Hester St,Subscriber,Male,1990
6524921,6/26/2017 14:27,6/26/2017 14:37,598,W 64 St & West End Ave,W 42 St & 8 Ave,Subscriber,Male,1970
2759622,4/13/2017 17:43,4/13/2017 17:55,723,Lispenard St & Broadway,Market St & Cherry St,Subscriber,Male,1983
5837364,6/14/2017 7:30,6/14/2017 7:33,145,Washington Pl & Broadway,MacDougal St & Washington Sq,Subscriber,Male,1966
6372379,6/23/2017 16:44,6/23/2017 16:52,497,11 Ave & W 27 St,Greenwich Ave & 8 Ave,Subscriber,Male,1990
3666224,5/2/2017 18:45,5/2/2017 19:07,1282,W 38 St & 8 Ave,Amsterdam Ave & W 79 St,Subscriber,Male,1985
3526427,4/30/2017 10:45,4/30/2017 10:55,574,E 33 St & 2 Ave,W 11 St & 6 Ave,Subscriber,Male,1977
5818608,6/13/2017 18:40,6/13/2017 18:45,314,Mercer St & Spring St,Mercer St & Spring St,Subscriber,Female,1989
3286855,4/24/2017 21:53,4/24/2017 22:05,704,1 Ave & E 62 St,E 41 St & Madison Ave,Subscriber,Female,1989
1366869,2/24/2017 17:07,2/24/2017 17:11,278,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,Subscriber,Male,1981
3689227,5/3/2017 8:38,5/3/2017 8:47,497,Monroe St & Classon Ave,Fulton St & Rockwell Pl,Subscriber,Male,1972
499815,1/23/2017 7:57,1/23/2017 8:02,323,Allen St & Rivington St,MacDougal St & Prince St,Subscriber,Male,1986
2673274,4/12/2017 6:10,4/12/2017 6:13,150,W 33 St & 7 Ave,E 33 St & 5 Ave,Subscriber,Male,1967
2367383,4/4/2017 16:19,4/4/2017 16:27,462,E 20 St & FDR Drive,E 17 St & Broadway,Subscriber,Male,1990
550235,1/25/2017 17:33,1/25/2017 17:56,1381,Broadway & W 51 St,E 11 St & 2 Ave,Subscriber,Male,1961
5643210,6/10/2017 16:51,6/10/2017 17:15,1425,E 6 St & Avenue D,E 6 St & Avenue D,Subscriber,Male,1977
5909922,6/15/2017 9:41,6/15/2017 10:00,1150,Macon St & Nostrand Ave,S 4 St & Wythe Ave,Subscriber,Female,1991
4067645,5/11/2017 5:16,5/11/2017 5:18,156,Lexington Ave & E 24 St,Broadway & E 22 St,Subscriber,Male,1993
1413636,2/25/2017 19:16,2/25/2017 19:24,436,Henry St & Grand St,Rivington St & Chrystie St,Subscriber,Male,1995
6259635,6/21/2017 19:49,6/21/2017 20:11,1297,W 56 St & 10 Ave,W 20 St & 11 Ave,Customer,Male,1979
6138096,6/20/2017 2:17,6/20/2017 2:26,558,Bank St & Hudson St,E 17 St & Broadway,Subscriber,Male,1987
2951762,4/17/2017 17:15,4/17/2017 17:58,2582,FDR Drive & E 35 St,N 6 St & Bedford Ave,Customer,Female,1990
3494918,4/29/2017 16:06,4/29/2017 16:45,2364,E 91 St & 2 Ave,E 85 St & York Ave,Subscriber,Male,1971
783853,2/2/2017 17:04,2/2/2017 17:06,152,Greenwich Ave & 8 Ave,W 4 St & 7 Ave S,Subscriber,Male,1969
3993208,5/9/2017 18:08,5/9/2017 18:10,122,S 3 St & Bedford Ave,Metropolitan Ave & Bedford Ave,Subscriber,Male,1991
4274571,5/15/2017 20:17,5/15/2017 20:52,2098,Riverside Dr & W 72 St,5 Ave & E 63 St,Subscriber,Female,1963
5515038,6/8/2017 17:01,6/8/2017 17:10,583,Christopher St & Greenwich St,University Pl & E 14 St,Subscriber,,1994
2415187,4/5/2017 17:33,4/5/2017 17:46,814,W 21 St & 6 Ave,W 37 St & 10 Ave,Customer,,
4879992,5/27/2017 15:14,5/27/2017 16:12,3501,Grand Army Plaza & Central Park S,Central Park West & W 85 St,Customer,,
6528621,6/26/2017 15:42,6/26/2017 15:47,276,W 33 St & 7 Ave,E 32 St & Park Ave,Subscriber,Male,1983
1139195,2/18/2017 15:32,2/18/2017 15:38,368,N 12 St & Bedford Ave,Milton St & Franklin St,Subscriber,Male,1979
746156,2/1/2017 15:50,2/1/2017 15:59,515,W 21 St & 6 Ave,W 26 St & 10 Ave,Subscriber,Female,1969
1243837,2/21/2017 17:27,2/21/2017 17:42,889,E 48 St & 5 Ave,E 25 St & 2 Ave,Subscriber,Male,1991
875615,2/6/2017 10:22,2/6/2017 10:28,386,W 27 St & 7 Ave,Lexington Ave & E 24 St,Subscriber,Male,1994
187292,1/11/2017 11:20,1/11/2017 11:25,321,W 20 St & 11 Ave,9 Ave & W 28 St,Subscriber,Male,1964
6492359,6/25/2017 20:40,6/25/2017 20:57,1002,West St & Chambers St,University Pl & E 8 St,Subscriber,Male,1992
367952,1/18/2017 13:12,1/18/2017 13:19,454,E 16 St & 5 Ave,E 23 St & 1 Ave,Subscriber,Female,1961
2901786,4/16/2017 16:24,4/16/2017 16:29,330,E 16 St & 5 Ave,W 15 St & 7 Ave,Subscriber,Female,1964
757332,2/1/2017 19:35,2/1/2017 19:39,270,E 20 St & Park Ave,1 Ave & E 18 St,Subscriber,Female,1984
1941195,3/21/2017 9:39,3/21/2017 9:54,876,Schermerhorn St & Court St,Reade St & Broadway,Subscriber,Male,1962
1595580,3/3/2017 6:25,3/3/2017 6:31,383,Clinton Ave & Myrtle Ave,Hanson Pl & Ashland Pl,Subscriber,Male,1986
2374297,4/4/2017 18:24,4/4/2017 18:30,355,Grand St & Elizabeth St,E 3 St & 1 Ave,Subscriber,Male,1971
3450472,4/28/2017 19:09,4/28/2017 20:13,3863,Greenwich Ave & 8 Ave,Prospect Park West & 8 St,Subscriber,Male,1987
4435959,5/18/2017 13:26,5/18/2017 14:29,3794,Peck Slip & Front St,FDR Drive & E 35 St,Customer,,
3958245,5/9/2017 8:04,5/9/2017 8:10,376,Broadway & W 51 St,E 47 St & Park Ave,Subscriber,Male,1984
2661038,4/11/2017 18:50,4/11/2017 19:14,1432,Peck Slip & Front St,West St & Chambers St,Subscriber,Female,1992
1870543,3/13/2017 16:27,3/13/2017 16:43,954,Grand St & Elizabeth St,Columbia St & Rivington St,Subscriber,Male,1951
2607621,4/10/2017 19:23,4/10/2017 19:37,871,W 26 St & 8 Ave,Lafayette St & Jersey St,Subscriber,Male,1982
4597728,5/21/2017 12:15,5/21/2017 12:36,1266,3 Ave & E 72 St,Great Jones St,Subscriber,Male,1993
4292714,5/16/2017 8:55,5/16/2017 9:18,1371,Fulton St & William St,Lexington Ave & E 29 St,Subscriber,Male,1954
